id,users_id,student_id,department,school_year,semester,branch,year_level,program,classified_as,last_school_attended,last_school_address,status,created_at,updated_at,deleted_at
,1705,C00-0483,SHS,2022-2023,1st,Uno,grade 11,HUMSS,new student,Morales Empire Liberty Hotel Corporation,"B01 L95 Mahogany Homes, Johnson Drive, Balilihan, 7046 Basilan",cancelled,33:38.7,33:38.7,
,1706,C00-0484,SHS,2020-2021,1st,Main,grade 11,HE,new student,UFXL Holdings Inc.,"2854 Jasmine Road, Tamarind Cove 6, Leon B. Postigo, 1981 Pampanga",failed,33:38.7,33:38.7,
,1707,C00-0485,SHS,2022-2023,1st,Uno,grade 11,ABM,new student,HNYU State Capital Inc.,"7649 J Hibok-Hibok Street, Ungkaya Pukan, 4741 Romblon",cancelled,33:38.7,33:38.7,
,1708,C00-0486,College,2019-2020,1st,Main,1st year,BSTM,new student,Prime Empire Dragon Holdings Limited,"8419 Libra Boulevard, Pena Cove, Vintar, 9534 Lanao del Sur",enrolled,33:38.7,33:38.7,
,1709,C00-0486,College,2019-2020,2nd,Main,1st year,BSTM,old student,,,completed,33:38.7,33:38.7,
,1710,C00-0486,College,2020-2021,1st,Main,2nd year,BSTM,old student,,,enrolled,33:38.7,33:38.7,
,1711,C00-0486,College,2020-2021,2nd,Main,2nd year,BSTM,old student,,,approved,33:38.7,33:38.7,
,1712,C00-0486,College,2021-2022,1st,Main,3rd year,BSTM,old student,,,onhold,33:38.7,33:38.7,
,1713,C00-0486,College,2021-2022,2nd,Main,3rd year,BSTM,old student,,,enrolled,33:38.7,33:38.7,
,1714,C00-0486,College,2022-2023,1st,Main,4th year,BSTM,old student,,,enrolled,33:38.7,33:38.7,
,1715,C00-0487,SHS,2022-2023,1st,Uno,grade 11,ICT,new student,Sovereign Liberty State Ventures Inc.,"Block 05 Lot 38 Bowen Street, Bowers Grove 4, Garcia Hernandez, 5079 Capiz",enrolled,33:38.7,33:38.7,
,1716,C00-0487,SHS,2022-2023,2nd,Uno,grade 11,ICT,old student,,,LOA,33:38.7,33:38.7,
,1717,C00-0487,SHS,2023-2024,1st,Uno,grade 12,ICT,old student,,,enrolled,33:38.7,33:38.7,
,1718,C00-0488,SHS,2022-2023,1st,Uno,grade 11,STEM,new student,Montes Shipping Corporation,"9383 Carrot Street, Spencer Subdivision Phase 2, Ampatuan, 2901 Kalinga",enrolled,33:38.7,33:38.7,
,1719,C00-0488,SHS,2022-2023,2nd,Main,grade 11,STEM,old student,,,enrolled,33:38.7,33:38.7,
,1720,C00-0488,SHS,2023-2024,1st,Main,grade 12,STEM,old student,,,enrolled,33:38.7,33:38.7,
,1721,C00-0489,College,2020-2021,1st,Main,1st year,BSCRIM,new student,Duran Shipping Limited,"5238 J Turquoise Avenue, New Corella, 2466 Marinduque",enrolled,33:38.7,33:38.7,
,1722,C00-0489,College,2020-2021,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1723,C00-0489,College,2021-2022,1st,Main,2nd year,BSCRIM,old student,,,dropped,33:38.7,33:38.7,
,1724,C00-0490,College,2021-2022,1st,Main,1st year,BSCRIM,new student,Double Genesis Bank Corporation,"Block 17 Lot 66 Palm Cove 6, Turquoise Road, Paluan, 8416 Camiguin",enrolled,33:38.7,33:38.7,
,1725,C00-0490,College,2021-2022,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1726,C00-0490,College,2022-2023,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1727,C00-0490,College,2022-2023,2nd,Main,2nd year,BSCRIM,old student,,,completed,33:38.7,33:38.7,
,1728,C00-0490,College,2023-2024,1st,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1729,C00-0490,College,2023-2024,2nd,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1730,C00-0490,College,2024-2025,1st,Main,4th year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1731,C00-0491,SHS,2022-2023,1st,Main,grade 11,IA,new student,Kim Century Sun Group Corporation,"Unit 414 Balimbing Place, 7568 Neptune Drive, Barili, 4906 Sorsogon",completed,33:38.7,33:38.7,
,1732,C00-0491,SHS,2022-2023,2nd,Uno,grade 11,IA,old student,,,enrolled,33:38.7,33:38.7,
,1733,C00-0491,SHS,2023-2024,1st,Uno,grade 12,IA,old student,,,enrolled,33:38.7,33:38.7,
,1734,C00-0492,SHS,2020-2021,1st,Main,grade 11,ICT,new student,Southern World Group Corporation,"7858 A Jade Street, Banaue, 7240 Misamis Occidental",transferred,33:38.7,33:38.7,
,1735,C00-0492,SHS,2020-2021,2nd,Main,grade 11,ICT,old student,,,onhold,33:38.7,33:38.7,
,1736,C00-0492,SHS,2021-2022,1st,Main,grade 12,ICT,old student,,,onhold,33:38.7,33:38.7,
,1737,C00-0493,College,2020-2021,1st,Main,1st year,BSENTREP,new student,JLSV Technologies Inc.,"6127 Unit F Apo Road, Quezon City, 1575 Metro Manila",enrolled,33:38.7,33:38.7,
,1738,C00-0493,College,2020-2021,2nd,Main,1st year,BSENTREP,old student,,,failed,33:38.7,33:38.7,
,1739,C00-0494,SHS,2019-2020,1st,Main,grade 11,HE,new student,OFD Silver Union Bank Inc.,"4th Floor Santana Place, 5487 37th Street, Glan, 2333 Pangasinan",enrolled,33:38.7,33:38.7,
,1740,C00-0494,SHS,2019-2020,2nd,Main,grade 11,HE,old student,,,enrolled,33:38.7,33:38.7,
,1741,C00-0494,SHS,2020-2021,1st,Uno,grade 12,HE,old student,,,enrolled,33:38.7,33:38.7,
,1742,C00-0495,SHS,2022-2023,1st,Main,grade 11,ICT,new student,Pollard City Star Construction Inc.,"4835 Lopez Boulevard Extension, Richard Cove Phase 9, Teresa, 4253 Laguna",enrolled,33:38.7,33:38.7,
,1743,C00-0495,SHS,2022-2023,2nd,Uno,grade 11,ICT,old student,,,failed,33:38.7,33:38.7,
,1744,C00-0496,College,2019-2020,1st,Main,1st year,BSCRIM,new student,Wright Manufacturing Limited,"Block 14 Lot 50 83rd Avenue, Bryant Estates 6, Bamban, 9505 Cotabato",enrolled,33:38.7,33:38.7,
,1745,C00-0496,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1746,C00-0496,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1747,C00-0496,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1748,C00-0496,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,completed,33:38.7,33:38.7,
,1749,C00-0496,College,2021-2022,2nd,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1750,C00-0496,College,2022-2023,1st,Main,4th year,BSCRIM,old student,,,enrolled,33:38.7,33:38.7,
,1751,C00-0497,SHS,2022-2023,1st,Main,grade 11,ICT,new student,UVNY Morning Gold Equities Limited,"9184 Smith Extension, Dauin, 2831 Quezon",enrolled,33:38.7,33:38.7,
,1752,C00-0497,SHS,2022-2023,2nd,Main,grade 11,ICT,old student,,,cancelled,33:38.7,33:38.7,
,1753,C00-0498,College,2022-2023,1st,Main,1st year,BSENTREP,new student,Sovereign World Shipping Corporation,"Block 22 Lot 17 94th Street, Williamson Homes Phase 5, Nueva Valencia, 4794 Kalinga",enrolled,33:38.7,33:38.7,
,1754,C00-0498,College,2022-2023,2nd,Main,1st year,BSENTREP,old student,,,completed,33:38.7,33:38.7,
,1755,C00-0498,College,2023-2024,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1756,C00-0498,College,2023-2024,2nd,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1757,C00-0498,College,2024-2025,1st,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1758,C00-0498,College,2024-2025,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1759,C00-0498,College,2025-2026,1st,Main,4th year,BSENTREP,old student,,,approved,33:38.7,33:38.7,
,1760,C00-0499,College,2020-2021,1st,Main,1st year,BSENTREP,new student,Southern Star Company Corporation,"6344 Diamond Drive Extension, Sofronio Española, 9247 Sulu",enrolled,33:38.7,33:38.7,
,1761,C00-0499,College,2020-2021,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1762,C00-0499,College,2021-2022,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1763,C00-0499,College,2021-2022,2nd,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1764,C00-0499,College,2022-2023,1st,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1765,C00-0499,College,2022-2023,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1766,C00-0499,College,2023-2024,1st,Main,4th year,BSENTREP,old student,,,enrolled,33:38.7,33:38.7,
,1767,C00-0500,College,2022-2023,1st,Main,1st year,BTVTED,new student,PUN Company Corporation,"B06 L65 Amber Street, Kalachuchi Village, Cebu City, 2798 Palawan",enrolled,33:38.7,33:38.7,
,1768,C00-0500,College,2022-2023,2nd,Main,1st year,BTVTED,old student,,,enrolled,33:38.7,33:38.7,
,1769,C00-0500,College,2023-2024,1st,Main,2nd year,BTVTED,old student,,,enrolled,33:38.7,33:38.7,
,1770,C00-0500,College,2023-2024,2nd,Main,2nd year,BTVTED,old student,,,dropped,33:38.7,33:38.7,
,1771,C00-0501,SHS,2020-2021,1st,Uno,grade 11,HUMSS,new student,Roberts Dragon Banking Corporation,"6859 Unit I 68th Drive Extension, Sikatuna, 5763 Eastern Samar",deferred,33:38.7,33:38.7,
,1772,C00-0501,SHS,2020-2021,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.7,33:38.7,
,1773,C00-0501,SHS,2021-2022,1st,Main,grade 12,HUMSS,old student,,,completed,33:38.7,33:38.7,
,1774,C00-0502,SHS,2021-2022,1st,Main,grade 11,HUMSS,new student,Oriental Union King Enterprise Inc.,"9670 Aquamarine Drive, Zinia Grove 8, New Washington, 4091 Pampanga",approved,33:38.7,33:38.7,
,1775,C00-0502,SHS,2021-2022,2nd,Main,grade 11,HUMSS,old student,,,completed,33:38.7,33:38.7,
,1776,C00-0502,SHS,2022-2023,1st,Main,grade 12,HUMSS,old student,,,enrolled,33:38.7,33:38.7,
,1777,C00-0503,SHS,2020-2021,1st,Uno,grade 11,ICT,new student,Grand State Bank Inc.,"Block 21 Lot 20 Gumamela Street, Canopus Estates, Iguig, 5564 Ilocos Norte",enrolled,33:38.7,33:38.7,
,1778,C00-0503,SHS,2020-2021,2nd,Main,grade 11,ICT,old student,,,approved,33:38.7,33:38.7,
,1779,C00-0503,SHS,2021-2022,1st,Main,grade 12,ICT,old student,,,enrolled,33:38.7,33:38.7,
,1780,C00-0504,SHS,2019-2020,1st,Uno,grade 11,STEM,new student,ELL Mining Corporation,"3708 Tamarind Street, Aborlan, 4035 Aurora",cancelled,33:38.7,33:38.7,
,1781,C00-0505,College,2019-2020,1st,Main,1st year,BSENTREP,new student,RRP World Gold Ventures Inc.,"6F Bakawan Building Tower 2, 4247 Barry Avenue, Las Piñas, 1047 Metro Manila",enrolled,33:38.8,33:38.8,
,1782,C00-0505,College,2019-2020,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1783,C00-0505,College,2020-2021,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1784,C00-0505,College,2020-2021,2nd,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1785,C00-0505,College,2021-2022,1st,Main,3rd year,BSENTREP,old student,,,onhold,33:38.8,33:38.8,
,1786,C00-0505,College,2021-2022,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1787,C00-0505,College,2022-2023,1st,Main,4th year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1788,C00-0506,College,2021-2022,1st,Main,1st year,BSTM,new student,Farley Silver Sun Company Corporation,"B22 L99 Mayapis Grove Phase 3, Lapis Lazuli Drive, Pidigan, 3059 Ilocos Sur",onhold,33:38.8,33:38.8,
,1789,C00-0506,College,2021-2022,2nd,Main,1st year,BSTM,old student,,,dismissed,33:38.8,33:38.8,
,1790,C00-0506,College,2022-2023,1st,Main,2nd year,BSTM,old student,,,enrolled,33:38.8,33:38.8,
,1791,C00-0506,College,2022-2023,2nd,Main,2nd year,BSTM,old student,,,approved,33:38.8,33:38.8,
,1792,C00-0506,College,2023-2024,1st,Main,3rd year,BSTM,old student,,,cancelled,33:38.8,33:38.8,
,1793,C00-0507,College,2019-2020,1st,Main,1st year,BSCRIM,new student,Oriental State King Manufacturing Corporation,"B18 L63 Hydra Cove 2, Sunstone Street, Biliran, 5593 Ilocos Norte",enrolled,33:38.8,33:38.8,
,1794,C00-0507,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1795,C00-0507,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1796,C00-0507,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,onhold,33:38.8,33:38.8,
,1797,C00-0507,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,failed,33:38.8,33:38.8,
,1798,C00-0508,SHS,2022-2023,1st,Uno,grade 11,ICT,new student,Manila Properties Inc.,"2605 Planet Avenue, Mann Village, Lugus, 2564 Tarlac",enrolled,33:38.8,33:38.8,
,1799,C00-0508,SHS,2022-2023,2nd,Main,grade 11,ICT,old student,,,enrolled,33:38.8,33:38.8,
,1800,C00-0508,SHS,2023-2024,1st,Uno,grade 12,ICT,old student,,,enrolled,33:38.8,33:38.8,
,1801,C00-0509,College,2022-2023,1st,Main,1st year,BSCRIM,new student,Grand Liberty Star Construction Corporation,"7F Salas Suites Tower 2, 4648 Lumbayao Road, Bangued, 1911 Bulacan",enrolled,33:38.8,33:38.8,
,1802,C00-0509,College,2022-2023,2nd,Main,1st year,BSCRIM,old student,,,completed,33:38.8,33:38.8,
,1803,C00-0509,College,2023-2024,1st,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1804,C00-0509,College,2023-2024,2nd,Main,2nd year,BSCRIM,old student,,,onhold,33:38.8,33:38.8,
,1805,C00-0509,College,2024-2025,1st,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1806,C00-0509,College,2024-2025,2nd,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1807,C00-0509,College,2025-2026,1st,Main,4th year,BSCRIM,old student,,,completed,33:38.8,33:38.8,
,1808,C00-0510,SHS,2022-2023,1st,Uno,grade 11,STEM,new student,SQTH Services Corporation,"B09 L66 Cancer Road, Granada Cove 1, Kawayan, 2223 Kalinga",completed,33:38.8,33:38.8,
,1809,C00-0510,SHS,2022-2023,2nd,Uno,grade 11,STEM,old student,,,onhold,33:38.8,33:38.8,
,1810,C00-0510,SHS,2023-2024,1st,Uno,grade 12,STEM,old student,,,cancelled,33:38.8,33:38.8,
,1811,C00-0511,College,2022-2023,1st,Main,1st year,BSENTREP,new student,TCFM Properties Limited,"2695F Duhat Road, Kananga, 9307 Lanao del Sur",enrolled,33:38.8,33:38.8,
,1812,C00-0511,College,2022-2023,2nd,Main,1st year,BSENTREP,old student,,,completed,33:38.8,33:38.8,
,1813,C00-0511,College,2023-2024,1st,Main,2nd year,BSENTREP,old student,,,onhold,33:38.8,33:38.8,
,1814,C00-0511,College,2023-2024,2nd,Main,2nd year,BSENTREP,old student,,,completed,33:38.8,33:38.8,
,1815,C00-0511,College,2024-2025,1st,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1816,C00-0511,College,2024-2025,2nd,Main,3rd year,BSENTREP,old student,,,approved,33:38.8,33:38.8,
,1817,C00-0511,College,2025-2026,1st,Main,4th year,BSENTREP,old student,,,dropped,33:38.8,33:38.8,
,1818,C00-0512,College,2022-2023,1st,Main,1st year,BSCS,new student,Southern Liberty Star Trust Inc.,"7570 Carlson Street, Orozco Homes Phase 2, Matanao, 2705 Palawan",failed,33:38.8,33:38.8,
,1819,C00-0513,College,2020-2021,1st,Main,1st year,BSCRIM,new student,Mcmahon Finance Inc.,"4007 40th Avenue, Evans Cove 7, Puerto Princesa, 5066 Cebu",cancelled,33:38.8,33:38.8,
,1820,C00-0514,SHS,2020-2021,1st,Uno,grade 11,ICT,new student,Johnson Trust Corporation,"1772A Palanan Avenue, Sibulan, 8620 Compostela Valley",deferred,33:38.8,33:38.8,
,1821,C00-0514,SHS,2020-2021,2nd,Uno,grade 11,ICT,old student,,,onhold,33:38.8,33:38.8,
,1822,C00-0514,SHS,2021-2022,1st,Uno,grade 12,ICT,old student,,,failed,33:38.8,33:38.8,
,1823,C00-0515,SHS,2022-2023,1st,Uno,grade 11,STEM,new student,HDTM Genesis Union Equities Corporation,"Block 13 Lot 66 Lawson Estates, 77th Road, Makati, 1215 Metro Manila",failed,33:38.8,33:38.8,
,1824,C00-0516,College,2019-2020,1st,Main,1st year,BSCRIM,new student,First Company Inc.,"2436 59th Road, Romero Homes 9, Akbar, 2825 Laguna",enrolled,33:38.8,33:38.8,
,1825,C00-0516,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,approved,33:38.8,33:38.8,
,1826,C00-0516,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,approved,33:38.8,33:38.8,
,1827,C00-0516,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,onhold,33:38.8,33:38.8,
,1828,C00-0516,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,onhold,33:38.8,33:38.8,
,1829,C00-0516,College,2021-2022,2nd,Main,3rd year,BSCRIM,old student,,,dropped,33:38.8,33:38.8,
,1830,C00-0517,SHS,2020-2021,1st,Main,grade 11,STEM,new student,JCSX Gold Construction Limited,"7225 Mahoney Street, Kiamba, 3132 Kalinga",enrolled,33:38.8,33:38.8,
,1831,C00-0517,SHS,2020-2021,2nd,Uno,grade 11,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1832,C00-0517,SHS,2021-2022,1st,Main,grade 12,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1833,C00-0518,SHS,2019-2020,1st,Main,grade 11,HUMSS,new student,Northern Services Inc.,"Room 237 Brewer Place 4, 3477 Jade Drive, Buldon, 2109 Benguet",enrolled,33:38.8,33:38.8,
,1834,C00-0518,SHS,2019-2020,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.8,33:38.8,
,1835,C00-0518,SHS,2020-2021,1st,Uno,grade 12,HUMSS,old student,,,enrolled,33:38.8,33:38.8,
,1836,C00-0519,SHS,2022-2023,1st,Uno,grade 11,HUMSS,new student,Sovereign Finance Corporation,"35F Caballero Building Tower 8, 4285 Moonstone Circle, Libona, 3310 Tarlac",enrolled,33:38.8,33:38.8,
,1837,C00-0519,SHS,2022-2023,2nd,Main,grade 11,HUMSS,old student,,,enrolled,33:38.8,33:38.8,
,1838,C00-0519,SHS,2023-2024,1st,Uno,grade 12,HUMSS,old student,,,enrolled,33:38.8,33:38.8,
,1839,C00-0520,SHS,2020-2021,1st,Main,grade 11,IA,new student,Metro Resources Inc.,"Block 10 Lot 19 Kamagong Cove Phase 6, Duhat Highway, Basista, 4496 La Union",enrolled,33:38.8,33:38.8,
,1840,C00-0520,SHS,2020-2021,2nd,Main,grade 11,IA,old student,,,cancelled,33:38.8,33:38.8,
,1841,C00-0521,SHS,2022-2023,1st,Main,grade 11,HE,new student,PEGU City Banking Inc.,"Block 06 Lot 80 Sanchez Estates, Carter Street, Ampatuan, 2547 Albay",enrolled,33:38.8,33:38.8,
,1842,C00-0521,SHS,2022-2023,2nd,Main,grade 11,HE,old student,,,completed,33:38.8,33:38.8,
,1843,C00-0521,SHS,2023-2024,1st,Uno,grade 12,HE,old student,,,enrolled,33:38.8,33:38.8,
,1844,C00-0522,SHS,2022-2023,1st,Uno,grade 11,HE,new student,Far Sun Summit Shipping Limited,"Block 19 Lot 02 Kanlaon Road, Vang Village Phase 6, Shariff Saydona Mustapha, 6723 Cebu",enrolled,33:38.8,33:38.8,
,1845,C00-0522,SHS,2022-2023,2nd,Uno,grade 11,HE,old student,,,transferred,33:38.8,33:38.8,
,1846,C00-0522,SHS,2023-2024,1st,Uno,grade 12,HE,old student,,,approved,33:38.8,33:38.8,
,1847,C00-0523,College,2019-2020,1st,Main,1st year,BSCRIM,new student,EZND Dragon Manufacturing Corporation,"9409G Montoya Street, Luna, 7481 Sarangani",completed,33:38.8,33:38.8,
,1848,C00-0523,College,2019-2020,2nd,Main,1st year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1849,C00-0523,College,2020-2021,1st,Main,2nd year,BSCRIM,old student,,,approved,33:38.8,33:38.8,
,1850,C00-0523,College,2020-2021,2nd,Main,2nd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1851,C00-0523,College,2021-2022,1st,Main,3rd year,BSCRIM,old student,,,enrolled,33:38.8,33:38.8,
,1852,C00-0523,College,2021-2022,2nd,Main,3rd year,BSCRIM,old student,,,failed,33:38.8,33:38.8,
,1853,C00-0524,SHS,2021-2022,1st,Uno,grade 11,ABM,new student,RU Company Inc.,"4197 Mayon Road, Castillo Village Phase 6, Mandaluyong, 0682 Metro Manila",enrolled,33:38.8,33:38.8,
,1854,C00-0524,SHS,2021-2022,2nd,Uno,grade 11,ABM,old student,,,onhold,33:38.8,33:38.8,
,1855,C00-0524,SHS,2022-2023,1st,Uno,grade 12,ABM,old student,,,enrolled,33:38.8,33:38.8,
,1856,C00-0525,College,2021-2022,1st,Main,1st year,BTVTED,new student,Bender Union Star Resorts Inc.,"557 12th Road Extension, Binangonan, 5457 Laguna",completed,33:38.8,33:38.8,
,1857,C00-0525,College,2021-2022,2nd,Main,1st year,BTVTED,old student,,,onhold,33:38.8,33:38.8,
,1858,C00-0525,College,2022-2023,1st,Main,2nd year,BTVTED,old student,,,failed,33:38.8,33:38.8,
,1859,C00-0526,SHS,2019-2020,1st,Uno,grade 11,STEM,new student,Oriental Services Corporation,"4346 Unit C 75th Boulevard Extension, Bien Unido, 7015 Agusan del Norte",enrolled,33:38.8,33:38.8,
,1860,C00-0526,SHS,2019-2020,2nd,Main,grade 11,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1861,C00-0526,SHS,2020-2021,1st,Uno,grade 12,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1862,C00-0527,College,2019-2020,1st,Main,1st year,BSIS,new student,Lewis Dragon Manufacturing Inc.,"4864H 31st Road, Lambayong, 6355 Iloilo",approved,33:38.8,33:38.8,
,1863,C00-0527,College,2019-2020,2nd,Main,1st year,BSIS,old student,,,enrolled,33:38.8,33:38.8,
,1864,C00-0527,College,2020-2021,1st,Main,2nd year,BSIS,old student,,,enrolled,33:38.8,33:38.8,
,1865,C00-0527,College,2020-2021,2nd,Main,2nd year,BSIS,old student,,,enrolled,33:38.8,33:38.8,
,1866,C00-0527,College,2021-2022,1st,Main,3rd year,BSIS,old student,,,enrolled,33:38.8,33:38.8,
,1867,C00-0527,College,2021-2022,2nd,Main,3rd year,BSIS,old student,,,approved,33:38.8,33:38.8,
,1868,C00-0527,College,2022-2023,1st,Main,4th year,BSIS,old student,,,enrolled,33:38.8,33:38.8,
,1869,C00-0528,College,2020-2021,1st,Main,1st year,BSTM,new student,Thomas Liberty Genesis Resources Corporation,"Unit 327 Lily Residences Tower 3, 9053 29th Street, Tarangnan, 4764 Batangas",enrolled,33:38.8,33:38.8,
,1870,C00-0528,College,2020-2021,2nd,Main,1st year,BSTM,old student,,,approved,33:38.8,33:38.8,
,1871,C00-0528,College,2021-2022,1st,Main,2nd year,BSTM,old student,,,dropped,33:38.8,33:38.8,
,1872,C00-0529,SHS,2020-2021,1st,Uno,grade 11,STEM,new student,Southern Company Corporation,"6814 Agate Street, Batuan, 9535 Cotabato",suspended,33:38.8,33:38.8,
,1873,C00-0529,SHS,2020-2021,2nd,Main,grade 11,STEM,old student,,,onhold,33:38.8,33:38.8,
,1874,C00-0529,SHS,2021-2022,1st,Main,grade 12,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1875,C00-0530,SHS,2019-2020,1st,Main,grade 11,STEM,new student,Far Hotel Corporation,"Unit 939 Adkins Towers 3, 914 Mushroom Street, Hilongos, 7038 Sulu",transferred,33:38.8,33:38.8,
,1876,C00-0530,SHS,2019-2020,2nd,Uno,grade 11,STEM,old student,,,enrolled,33:38.8,33:38.8,
,1877,C00-0530,SHS,2020-2021,1st,Uno,grade 12,STEM,old student,,,approved,33:38.8,33:38.8,
,1878,C00-0531,SHS,2021-2022,1st,Main,grade 11,ABM,new student,Pacific Crown Solutions Corporation,"2705 14th Street, Bell Estates 6, Banga, 7325 South Cotabato",enrolled,33:38.8,33:38.8,
,1879,C00-0531,SHS,2021-2022,2nd,Uno,grade 11,ABM,old student,,,approved,33:38.8,33:38.8,
,1880,C00-0531,SHS,2022-2023,1st,Main,grade 12,ABM,old student,,,completed,33:38.8,33:38.8,
,1881,C00-0532,SHS,2019-2020,1st,Uno,grade 11,HUMSS,new student,May Morning Dragon Banking Limited,"6883A Dudley Street, Aringay, 3115 Batanes",enrolled,33:38.8,33:38.8,
,1882,C00-0532,SHS,2019-2020,2nd,Uno,grade 11,HUMSS,old student,,,enrolled,33:38.8,33:38.8,
,1883,C00-0532,SHS,2020-2021,1st,Uno,grade 12,HUMSS,old student,,,dropped,33:38.8,33:38.8,
,1884,C00-0533,College,2020-2021,1st,Main,1st year,BTVTED,new student,Northern Genesis Millennium Banking Corporation,"11th Floor Emerald Apartments, 7870 Macopa Drive, Santa Lucia, 6393 Samar",enrolled,33:38.8,33:38.8,
,1885,C00-0533,College,2020-2021,2nd,Main,1st year,BTVTED,old student,,,deferred,33:38.8,33:38.8,
,1886,C00-0533,College,2021-2022,1st,Main,2nd year,BTVTED,old student,,,completed,33:38.8,33:38.8,
,1887,C00-0533,College,2021-2022,2nd,Main,2nd year,BTVTED,old student,,,enrolled,33:38.8,33:38.8,
,1888,C00-0533,College,2022-2023,1st,Main,3rd year,BTVTED,old student,,,enrolled,33:38.8,33:38.8,
,1889,C00-0533,College,2022-2023,2nd,Main,3rd year,BTVTED,old student,,,approved,33:38.8,33:38.8,
,1890,C00-0533,College,2023-2024,1st,Main,4th year,BTVTED,old student,,,completed,33:38.8,33:38.8,
,1891,C00-0534,College,2021-2022,1st,Main,1st year,BSENTREP,new student,Hopkins Capital Corporation,"9909H Libra Street, Talacogon, 8095 Zamboanga del Norte",enrolled,33:38.8,33:38.8,
,1892,C00-0534,College,2021-2022,2nd,Main,1st year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1893,C00-0534,College,2022-2023,1st,Main,2nd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1894,C00-0534,College,2022-2023,2nd,Main,2nd year,BSENTREP,old student,,,completed,33:38.8,33:38.8,
,1895,C00-0534,College,2023-2024,1st,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1896,C00-0534,College,2023-2024,2nd,Main,3rd year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1897,C00-0534,College,2024-2025,1st,Main,4th year,BSENTREP,old student,,,enrolled,33:38.8,33:38.8,
,1898,C00-0535,SHS,2019-2020,1st,Uno,grade 11,ICT,new student,National Pillow Corporation of the Philippines,"8567 Pinatubo Road, Pasig, 1439 Metro Manila",enrolled,33:38.8,33:38.8,
